geracao;fi;distancia
0;8.507882100376616E-6;117538.06507917326;
1;8.73359299177868E-6;114500.4124810195;
2;9.158363730019622E-6;109189.81048133774;
3;9.311673225639466E-6;107392.08472721362;
4;9.559046147814461E-6;104612.94825202152;
5;9.493048917643806E-6;105340.23459432484;
6;1.0117380696640043E-5;98839.8114081145;
7;1.0120363908467503E-5;98810.67608283536;
8;1.0321421706380218E-5;96885.877590085;
9;1.0243840127010081E-5;97619.64142365767;
10;1.0226986097877346E-5;97780.51817314529;
11;9.799232218005623E-6;102048.8113510105;
12;9.970323086096516E-6;100297.65247973627;
13;9.835018161152278E-6;101677.49399283664;
14;1.0088288448409454E-5;99124.84214878517;
15;9.947472832728312E-6;100528.04534533503;
16;1.0104857173044533E-5;98962.30920191285;
17;1.034841998870545E-5;96633.10931441007;
18;1.034841998870545E-5;96633.10931441007;
19;9.932236514940829E-6;100682.2580690385;
20;1.0095267474529571E-5;99056.31549862417;
21;9.686515289932099E-6;103236.30016249217;
22;9.94866140110082E-6;100516.03524162053;
23;1.010375533708941E-5;98973.10125168473;
24;1.0143225685236523E-5;98587.96708580597;
25;1.009138906298775E-5;99094.38569440418;
26;1.0234794914463412E-5;97705.91480898549;
27;1.0151176006868293E-5;98510.75376127842;
28;1.049034815067923E-5;95325.72090424396;
29;9.898471671649406E-6;101025.69701382674;
30;1.0136057380050985E-5;98657.68932683075;
31;1.0136057380050985E-5;98657.68932683075;
32;1.0147762611565717E-5;98543.8897496744;
33;9.67959126479908E-6;103310.14736506614;
34;1.0063566003410438E-5;99368.35508020819;
35;9.935184507197458E-6;100652.38338307243;
36;9.695350107606256E-6;103142.22683051681;
37;9.909126203774232E-6;100917.07174131212;
38;1.0002385864871661E-5;99976.14704227677;
39;9.955785479909004E-6;100444.10880668553;
40;1.0155969566210486E-5;98464.25725093343;
41;1.0035157154987357E-5;99649.66014538312;
42;1.004377719803373E-5;99564.13610964706;
43;9.773539860287909E-6;102317.07388468583;
44;9.839060794777292E-6;101635.71715410211;
45;9.960233623861445E-6;100399.25143967796;
46;1.02225005730265E-5;97823.42322764354;
47;1.0187139562544953E-5;98162.98224446627;
48;1.0156089598142559E-5;98463.0935299044;
49;9.748956062892807E-6;102575.0853269586;
50;1.0305800057316248E-5;97032.738306434;
51;1.0634357091610769E-5;94034.83364207132;
52;1.0117055401056194E-5;98842.98942314803;
53;1.0273325440988653E-5;97339.464786172;
54;1.0413634710074023E-5;96027.9506474922;
55;1.0405953509910996E-5;96098.83409987992;
56;9.911789613391176E-6;100889.95418637265;
57;9.798567020635994E-6;102055.73916001988;
58;1.0029610673769033E-5;99704.76746573548;
59;9.91500731731981E-6;100857.21250585184;
60;9.923134491410982E-6;100774.60915858341;
61;9.9195563528526E-6;100810.96013053313;
62;1.0837754770250573E-5;92270.0338953028;
63;1.0900533861783478E-5;91738.62607829983;
64;1.0139894634316335E-5;98620.35416183823;
65;1.0182136618206155E-5;98211.21415832816;
66;1.011335514108044E-5;98879.1539553477;
67;1.023736282567816E-5;97681.40653291307;
68;1.023736282567816E-5;97681.40653291307;
69;1.0117780660382705E-5;98835.90419345727;
70;9.940372763813E-6;100599.84909624384;
71;1.005233832446168E-5;99479.34179319932;
72;1.0065858129546815E-5;99345.72762004763;
73;1.0093951661222368E-5;99069.22814398547;
74;1.0445173819339368E-5;95737.99510626502;
75;1.0396831522628512E-5;96183.14943581788;
76;1.0263827295080907E-5;97429.54272810738;
77;1.0438546397633645E-5;95798.77905478237;
78;1.0405599764616172E-5;96102.1010437534;
79;1.0610987337601981E-5;94241.93698321705;
80;1.0491920592388819E-5;95311.43427881379;
